IdOpinion,IdCliente,IdProducto,Fecha,Comentario,Clasificacion,PuntajeSatisfaccion,Fuente
1,8537,366,7/15/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
2,2721,667,12/7/2024,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
3,8424,953,6/20/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
4,9672,961,8/17/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
5,8018,607,10/22/2024,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
6,6119,89,3/6/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
7,4890,478,7/19/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
8,415,388,2/6/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
9,6110,970,9/19/2024,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
10,8693,48,5/29/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
11,9269,74,2/7/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
12,3734,34,5/30/2025,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
13,3629,930,4/27/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
14,1953,369,6/23/2025,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
15,253,385,4/5/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
16,8697,750,4/25/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,4,EncuestaInterna
17,2756,339,12/3/2024,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
18,9132,390,1/21/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
19,1370,393,12/7/2024,"Excelente calidad, definitivamente volvería a comprar.",Positiva,4,EncuestaInterna
20,6506,271,1/15/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
21,8571,835,3/4/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
22,3635,977,4/13/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,2,EncuestaInterna
23,3407,712,1/30/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
24,7342,386,7/13/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
25,6272,27,7/24/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
26,3318,654,8/20/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
27,552,383,4/12/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
28,6660,592,4/8/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,1,EncuestaInterna
29,539,957,8/6/2025,El producto llegó en perfecto estado y antes de tiempo.,Positiva,4,EncuestaInterna
30,6473,144,2/12/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
31,7512,765,12/26/2024,"No era lo que esperaba, muy decepcionado.",Negativa,1,EncuestaInterna
32,6558,953,9/14/2024,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
33,2699,19,9/18/2024,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
34,996,340,9/10/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
35,5820,771,12/4/2024,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
36,8344,733,12/11/2024,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
37,943,705,7/20/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
38,6554,477,8/29/2025,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
39,5662,513,4/2/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
40,9665,701,7/16/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
41,3803,446,1/19/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
42,9881,851,6/13/2025,"El producto superó mis expectativas, muy recomendable.",Positiva,4,EncuestaInterna
43,7334,376,1/17/2025,"Mala calidad, no lo recomiendo para nada.",Negativa,1,EncuestaInterna
44,1287,46,1/21/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
45,6817,323,1/12/2025,"Ni malo ni excelente, simplemente regular.",Neutra,3,EncuestaInterna
46,2399,618,5/17/2025,"El servicio fue rápido y eficiente, estoy muy satisfecho.",Positiva,5,EncuestaInterna
47,7073,122,3/26/2025,El servicio fue lento y el soporte no resolvió mi problema.,Negativa,2,EncuestaInterna
48,1781,184,8/6/2025,"Excelente calidad, definitivamente volvería a comprar.",Positiva,5,EncuestaInterna
49,3209,290,8/25/2025,"La experiencia fue aceptable, aunque podría mejorar.",Neutra,3,EncuestaInterna
50,5704,991,9/7/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
51,7496,889,4/15/2025,"Me encanta, es justo lo que necesitaba.",Positiva,5,EncuestaInterna
52,8078,917,10/25/2024,"El producto cumple su función, nada especial.",Neutra,3,EncuestaInterna
53,1574,779,9/25/2024,"El producto está bien, pero esperaba un poco más de calidad.",Neutra,3,EncuestaInterna
54,9647,768,11/10/2024,El producto llegó en perfecto estado y antes de tiempo.,Positiva,5,EncuestaInterna
55,3032,856,1/6/2025,El producto dejó de funcionar al poco tiempo de usarlo.,Negativa,2,EncuestaInterna
56,122,378,8/9/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
57,9945,207,9/3/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,1,EncuestaInterna
58,8267,917,8/5/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
59,7131,149,6/20/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
60,8691,962,5/19/2025,El producto llegó dañado y no cumplió con lo prometido.,Negativa,2,EncuestaInterna
61,9807,632,10/8/2024,"El producto superó mis expectativas, muy recomendable.",Positiva,5,EncuestaInterna
62,9194,909,2/23/2025,"El envío fue normal, dentro del tiempo esperado.",Neutra,3,EncuestaInterna
